division,adress,cctv,lat,long,cctvCnt,date
강서구,P253001(A5002)_화곡1동 908-9(호돌이 공원),도심공원,37.528107,126.84598,1,2021-01-29
강서구,P303005_화곡8동 892-17(모태어린이공원),도심공원,37.52947231,126.8496212,1,2021-01-29
강서구,P263002_화곡2동 883-3 하마터어린이공원,도심공원,37.52999848,126.8534461,1,2021-01-29
강서구,P263001_화곡2동 845-19 뜸부기어린이공원,도심공원,37.530087,126.856926,1,2021-01-29
강서구,P253005_화곡1동 355-12(필마어린이공원),도심공원,37.53159999,126.8387572,1,2021-01-29
강서구,P253005_화곡1동 355-12(필마어린이공원)(보조1),도심공원,37.53159999,126.8387572,1,2021-01-29
강서구,P303002_화곡8동 341-24_배다리공원 - 카메라 1,도심공원,37.53208,126.84817,1,2021-01-29
강서구,P263003_화곡2동 865-1(골말어린이공원),도심공원,37.53331872,126.8561864,1,2021-01-29
강서구,P253003_화곡1동 354-14 까치어린이공원,도심공원,37.53354,126.84199,1,2021-01-29
강서구,P283001_(A3007)화곡4동 806-10(무지개공원),도심공원,37.533863,126.861244,1,2021-01-29
강서구,P303004_화곡동 339-19 더부리어린이공원 - 카메라 1,도심공원,37.53497,126.84667,1,2021-01-29
강서구,P253004_화곡1동 372-26 월정어린이공원,도심공원,37.535236,126.83588,1,2021-01-29
강서구,P283002_화곡동 819-5 종달새어린이공원,도심공원,37.5354,126.858185,1,2021-01-29
강서구,P253002_화곡1동 369-11 은행어린이공원,도심공원,37.535706,126.84044,1,2021-01-29
강서구,P303003_화곡동 155-1 안골어린이공원,도심공원,37.53594556,126.850728,1,2021-01-29
강서구,P283004_화곡4동 468-1(능골어린이공원),도심공원,37.53673125,126.8551185,1,2021-01-29
강서구,P313004_까치산근린공원2,도심공원,37.53718,126.84319,1,2021-01-29
강서구,P303001_(A3019)대무공원 (화곡8동 409-57),도심공원,37.53825,126.84769,1,2021-01-29
강서구,P283006_화곡4동 산22-87(신곡초교인근공원)(보조1),도심공원,37.53832712,126.8552067,1,2021-01-29
강서구,P283006_화곡4동 산22-87(신곡초교인근공원),도심공원,37.53834289,126.8552065,1,2021-01-29
강서구,P283003_화곡동 산22-83(봉제산근린공원),도심공원,37.53883302,126.8521235,1,2021-01-29
강서구,P283003_화곡동 산22-83(봉제산근린공원)(보조1),도심공원,37.53883302,126.8521235,1,2021-01-29
강서구,P283005_화곡4동 산5-5 (장수동산 개방화장실인근)(보조2),도심공원,37.5397592,126.8587373,1,2021-01-29
강서구,P283005_화곡4동 산5-5 (장수동산 개방화장실인근)(보조1),도심공원,37.53977496,126.8587343,1,2021-01-29
강서구,P283005_화곡4동 산5-5 (장수동산 개방화장실인근),도심공원,37.53978171,126.8587314,1,2021-01-29
강서구,P313007_화곡본동 61-96(비둘기어린이공원),도심공원,37.54150861,126.8469584,1,2021-01-29
